Population,Area (sq. mi.),Pop. Density ,GDP ($ per capita),Literacy (%),Infant mortality ,Development Index
1.3468381201030728,8511965,22.1,-0.21226323170998723,0.12427536836783538,29.61,0.03529865459220697
-0.2363677319937466,15007,70.8,-0.9200288602983916,-1.3078219587154463,47.41,0.03529865459220697
0.10372759276686881,2505810,16.5,-0.7804694405767344,-1.1790362278626332,62.5,-1.0993009573001609
-0.14799292244190348,752614,15.3,-0.8901232703580365,-0.17450752721069154,88.29,-1.0993009573001609
0.5120449699508586,300000,298.2,-0.5113191311135383,0.4436639808828112,23.51,0.03529865459220697
-0.24386718182525066,2944,60.1,-0.41163383131235465,0.8094154565048008,27.71,0.03529865459220697
-0.22824449132992491,30355,66.6,-0.6708156107954323,0.041852500622034584,84.23,-1.0993009573001609
-0.24197675316810852,316,1266.5,0.7945582962819683,0.45396683935103643,3.89,1.1698982664845747
-0.17600683242286574,83870,97.7,2.020687483836528,0.7218411595248878,4.66,1.1698982664845747
-0.1574993558898949,30528,340.0,1.9309707140154624,0.7218411595248878,4.68,1.1698982664845747
0.4691604740430005,329560,256.1,-0.7206582606960241,0.32518110849822335,25.95,0.03529865459220697
-0.24447227205434388,811,130.0,-0.8901232703580365,0.7733554518660131,48.52,0.03529865459220697
-0.24068807927710334,28450,19.4,-0.8004065005369712,0.7733554518660131,21.29,0.03529865459220697
-0.07417057692109093,65610,308.2,-0.6010359009346037,0.4282096931804738,14.35,0.03529865459220697
-0.23574502476360767,17363,65.5,-0.48141354117318325,-0.1229932348695663,69.27,-1.0993009573001609
-0.20733588781925286,693,6482.2,1.3926700950890705,0.438512551648699,2.29,1.1698982664845747
-0.15871512367181517,78866,129.8,0.5951876966796008,0.819718314973026,3.93,1.1698982664845747
-0.243727456403694,1001,193.2,-0.850249150437563,-0.2414761072541542,43.11,0.03529865459220697
-0.23146792844533623,11300,145.3,-0.8004065005369712,-2.260836367026263,72.02,-1.0993009573001609
-0.20107789899320283,338145,15.5,1.76150570435345,0.8248697442071382,3.57,1.1698982664845747
-0.17796460526228497,86600,91.9,-0.6309414908749589,0.6703268671837626,81.74,-1.0993009573001609
-0.24525073016638524,102,132.1,-0.11257793190880354,0.567298282501512,21.03,0.03529865459220697
-0.22016792175056502,29800,99.9,-0.6209729608948404,0.7527497349295627,23.28,0.03529865459220697
0.2850969719809106,2345410,26.7,-0.9000918003381548,-0.9523733415616823,94.69,-1.0993009573001609
0.08087451594039254,312685,123.3,0.13663531759415576,0.814566885738913,8.51,1.1698982664845747
-0.1461743416885936,1240000,9.5,-0.8801547403779181,-1.9362963252771743,116.79,-2.2339005691925284
-0.18760901174393466,21040,324.3,-0.4913820711533016,-0.19511324414714118,25.1,0.03529865459220697
-0.24519060717675206,458,44.9,-0.07270381198833005,0.4127554054781364,14.84,0.03529865459220697
-0.24487555830894045,199,290.4,-0.17238911178951377,0.6703268671837626,9.27,1.1698982664845747
-0.24292900244519905,22966,12.5,-0.48141354117318325,0.520935419394499,25.69,0.03529865459220697
-0.23148258247167458,600370,2.7,-0.07270381198833005,-0.21571896108359156,54.58,-1.0993009573001609
-0.23869741741843253,2517,312.9,-0.39169677135211795,0.25306109922064846,7.78,1.1698982664845747
-0.027540169869211314,912050,28.2,-0.4913820711533016,0.484875414755712,22.2,0.03529865459220697
-0.10877829928143437,756950,21.3,0.017012957832735293,0.6291154333108625,8.8,1.1698982664845747
1.0021774947072228,144000,1023.4,-0.7804694405767344,-2.1062934900028876,62.6,-1.0993009573001609
-0.14270137977461322,1246700,9.7,-0.7804694405767344,-2.162959211578125,191.19,-2.2339005691925284
-0.24391703599111236,541,316.1,1.1235197856258745,0.7733554518660131,6.94,1.1698982664845747
-0.24476205944636484,468,152.1,0.924149186023507,0.8248697442071382,4.05,1.1698982664845747
-0.2341534925293011,45226,29.3,0.2562576773555762,0.814566885738913,7.87,1.1698982664845747
-0.24467452470786769,455,179.2,-0.1923261717497505,-1.3387305341201214,15.53,0.03529865459220697
-0.2376953817006165,18270,49.6,-0.39169677135211795,0.5003297024580494,12.62,0.03529865459220697
-0.24367584984993398,91000,2.2,-0.14248352184915863,-0.05087322559199069,12.07,0.03529865459220697
-0.24516928222450116,153,151.0,0.6250932866199559,0.7115383010566626,18.05,0.03529865459220697
-0.21085767955641038,268680,15.2,1.1833309655065847,0.7733554518660131,5.85,1.1698982664845747
0.6642643923529296,1972550,54.5,-0.07270381198833005,0.4230582639463616,20.91,0.03529865459220697
-0.2447797780351148,443,156.0,0.12666678761403738,0.2582125284547607,19.46,0.03529865459220697
-0.18284294840817208,110910,66.6,-0.21226323170998723,0.7527497349295627,20.55,0.03529865459220697
-0.1954111506058997,1759540,3.4,-0.3318855914714077,-0.07147894252844107,24.6,0.03529865459220697
-0.19839149681067791,56785,97.7,-0.8203435604972079,-1.1893390863308584,66.61,-1.0993009573001609
-0.24439390560615545,748,153.3,-0.7505638506363793,0.7475983056954504,12.62,0.03529865459220697
-0.24525233863836923,21,632.7,-0.4714450111930649,0.7733554518660131,9.95,1.1698982664845747
-0.21834825739507643,78200,40.8,-0.34185412145152605,0.4436639808828112,20.47,0.03529865459220697
-0.1676165007532814,48730,188.5,-0.3717597113918812,0.03670107138792235,32.38,0.03529865459220697
-0.049698276745257376,120540,191.8,-0.8402806204574447,0.7733554518660131,24.04,0.03529865459220697
-0.19536030595992154,92300,64.0,-0.5412247210538935,0.3766954008393486,17.35,0.03529865459220697
-0.2395155032007742,2170,318.4,-0.9000918003381548,-1.4160019726318094,74.93,-1.0993009573001609
-0.24518575636387405,430,49.2,-0.01289263210761982,0.7218411595248878,15.67,0.03529865459220697
-0.24511719312914593,61,479.5,2.4792398629219727,0.6188125748426373,5.73,1.1698982664845747
-0.19145154126034195,236800,26.9,-0.8004065005369712,-0.9060104784546692,85.22,-1.0993009573001609
-0.24444541057221125,1910,56.9,0.7447156463813764,0.7733554518660131,8.03,1.1698982664845747
-0.234860424431907,2040,608.3,0.16654090753451087,0.08306393449493461,15.03,0.03529865459220697
-0.14177241101308047,390580,31.3,-0.7804694405767344,0.34578682543467376,67.69,-1.0993009573001609
0.3017831248925568,514000,125.7,-0.232200291670224,0.4436639808828112,20.48,0.03529865459220697
0.2699907533740022,547030,111.3,1.7814427643136868,0.7733554518660131,4.26,1.1698982664845747
-0.16086642108783453,93030,107.3,0.41575415703747015,0.7939611688024634,8.57,1.1698982664845747
0.15575958736666973,678500,69.8,-0.7904379705568527,0.06760964679259719,67.24,-1.0993009573001609
9.027493055037764,3287590,333.2,-0.6807841407755507,-1.2614590956084337,56.29,-1.0993009573001609
-0.24215258455288477,5770,65.8,0.8842750661030336,0.5106325609262746,12.61,0.03529865459220697
-0.20590245991533054,69700,66.9,-0.7206582606960241,0.7733554518660131,18.59,0.03529865459220697
0.07163446238423404,945087,39.6,-0.9100603303182733,-0.29814182882939166,98.54,-1.0993009573001609
-0.22333118508249103,82880,31.4,1.3428274451884787,-0.3135961165317291,14.51,0.03529865459220697
-0.12766723764387167,274200,50.7,-0.8602176804176813,-2.9562793136314536,97.57,-1.0993009573001609
-0.03892287742088571,329750,74.0,-0.07270381198833005,0.24275824075242328,17.7,0.03529865459220697
